% Model,attempt10-785nm_step3.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 11 2025, 16:27"
% Table,E^4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
310.0,135.0,0.785,3.838576793456641e+18
310.0,140.0,0.785,3.906019072698634e+18
310.0,145.0,0.785,3.957735391736369e+18
310.0,150.0,0.785,3.828171326391129e+18
310.0,155.0,0.785,3.961865751029918e+18
310.0,160.0,0.785,3.822653567815887e+18
310.0,165.0,0.785,3.909985060196935e+18
310.0,170.0,0.785,4.035345281799299e+18
310.0,175.0,0.785,3.877708472442171e+18
310.0,180.0,0.785,4.065842485053922e+18
310.0,185.0,0.785,3.927977139589261e+18
310.0,190.0,0.785,3.984524151925797e+18
310.0,195.0,0.785,3.98532478712788e+18
310.0,200.0,0.785,4.08952117865775e+18
310.0,205.0,0.785,4.079610382475744e+18
310.0,210.0,0.785,4.171351137165604e+18
310.0,215.0,0.785,4.249494935309831e+18
310.0,220.0,0.785,4.111586306084997e+18
310.0,225.0,0.785,4.163748055605159e+18
310.0,230.0,0.785,4.198269549240204e+18
310.0,235.0,0.785,4.248499528441504e+18
310.0,239.99999999999997,0.785,4.416795100452363e+18
310.0,244.99999999999997,0.785,4.303448171410328e+18
310.0,250.0,0.785,4.296478389509547e+18
310.0,255.0,0.785,4.218069611802666e+18
310.0,260.0,0.785,4.37945721486121e+18
310.0,265.0,0.785,4.539380977892555e+18
310.0,270.0,0.785,4.51599758491572e+18
310.0,275.0,0.785,4.511460840792786e+18
310.0,280.0,0.785,4.548491244138703e+18
310.0,285.0,0.785,4.598465346950925e+18
310.0,290.0,0.785,4.536567089248954e+18
310.0,295.0,0.785,4.679433765169228e+18
310.0,300.0,0.785,4.794596121250203e+18
310.0,305.0,0.785,4.712212150675407e+18
310.0,310.0,0.785,4.786658009614215e+18
310.0,315.0,0.785,4.956763635038358e+18
310.0,320.0,0.785,4.949784074385362e+18
310.0,325.0,0.785,4.946075441341385e+18
310.0,330.0,0.785,4.991843750541473e+18
310.0,335.0,0.785,5.07111917659106e+18
310.0,340.0,0.785,5.239655736151693e+18
310.0,345.0,0.785,5.37108529032665e+18
310.0,350.0,0.785,5.394518006949878e+18
310.0,355.0,0.785,5.710776259493645e+18
310.0,360.0000000000001,0.785,5.69828057668859e+18
310.0,365.0,0.785,5.721814115543536e+18
310.0,370.0,0.785,5.656746309927422e+18
310.0,375.0,0.785,5.906069468931674e+18
310.0,380.0,0.785,5.807473293004798e+18
310.0,385.0,0.785,6.254001667403862e+18
310.0,390.0,0.785,6.549986028610687e+18
310.0,395.0,0.785,6.660387630794317e+18
310.0,400.0,0.785,6.873331548007049e+18
310.0,405.0,0.785,7.186927799971035e+18
310.0,410.0,0.785,7.754027708867378e+18
310.0,415.0000000000001,0.785,8.050168222374485e+18
310.0,420.0,0.785,8.402832390669797e+18
310.0,425.0,0.785,8.9678861798602e+18
310.0,430.0,0.785,9.5955277611002e+18
310.0,435.0,0.785,1.016313111847035e+19
310.0,440.0,0.785,1.139986516639607e+19
310.0,445.0,0.785,1.266396677277603e+19
310.0,450.0,0.785,1.418311830378341e+19
310.0,455.0,0.785,1.674022923941175e+19
310.0,460.0,0.785,2.136656537071867e+19
310.0,465.0000000000001,0.785,2.837297352165921e+19
310.0,470.0000000000001,0.785,4.208719855668444e+19
310.0,475.0,0.785,7.394920702044796e+19
310.0,480.00000000000006,0.785,1.572179300699359e+20
310.0,485.0,0.785,5.858403702487919e+20
310.0,490.00000000000006,0.785,2.933485484303504e+21
310.0,495.0,0.785,5.566121092967557e+20
310.0,500.00000000000006,0.785,2.447553152212439e+19
315.0,0.0,0.785,4.322687013791952e+18
315.0,5.0,0.785,3.902612383701524e+18
315.0,10.0,0.785,3.917721128119478e+18
315.0,15.000000000000002,0.785,3.807735722632444e+18
315.0,20.0,0.785,3.859511326024939e+18
315.0,25.000000000000004,0.785,3.86117223605143e+18
315.0,30.000000000000004,0.785,3.851079945613081e+18
315.0,35.0,0.785,3.917901535501195e+18
315.0,40.0,0.785,3.967639194503526e+18
315.0,45.000000000000014,0.785,3.949340933049396e+18
315.0,50.00000000000001,0.785,3.871746854030599e+18
315.0,55.0,0.785,3.932711655290394e+18
315.0,60.00000000000002,0.785,3.947667403661659e+18
315.0,65.0,0.785,3.910561550200852e+18
315.0,70.0,0.785,3.981517228843534e+18
