% Model,attempt10-785nm_step8.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 27 2025, 15:09"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.249999999999999E2,0.000000000000000E0,7.850000000000000E-1,2.528070391626071E19
4.249999999999999E2,4.999999999999999E0,7.850000000000000E-1,2.447956996218155E19
4.249999999999999E2,9.999999999999998E0,7.850000000000000E-1,2.357173457623048E19
4.249999999999999E2,1.500000000000000E1,7.850000000000000E-1,2.264346649364629E19
4.249999999999999E2,2.000000000000000E1,7.850000000000000E-1,2.239171266563124E19
4.249999999999999E2,2.500000000000000E1,7.850000000000000E-1,2.263748980377182E19
4.249999999999999E2,3.000000000000000E1,7.850000000000000E-1,2.240954412026119E19
4.249999999999999E2,3.500000000000000E1,7.850000000000000E-1,2.246899563161778E19
4.249999999999999E2,3.999999999999999E1,7.850000000000000E-1,2.301900702211448E19
4.249999999999999E2,4.500000000000000E1,7.850000000000000E-1,2.267163626443689E19
4.249999999999999E2,5.000000000000000E1,7.850000000000000E-1,2.227905421001388E19
4.249999999999999E2,5.499999999999999E1,7.850000000000000E-1,2.277533611746165E19
4.249999999999999E2,6.000000000000000E1,7.850000000000000E-1,2.268934185885841E19
4.249999999999999E2,6.499999999999999E1,7.850000000000000E-1,2.309987631049319E19
4.249999999999999E2,7.000000000000000E1,7.850000000000000E-1,2.369890994665493E19
4.249999999999999E2,7.500000000000000E1,7.850000000000000E-1,2.395643232755063E19
4.249999999999999E2,7.999999999999999E1,7.850000000000000E-1,2.331848700394216E19
4.249999999999999E2,8.500000000000000E1,7.850000000000000E-1,2.386484487852491E19
4.249999999999999E2,9.000000000000000E1,7.850000000000000E-1,2.312127136681687E19
4.249999999999999E2,9.499999999999999E1,7.850000000000000E-1,2.371975267840140E19
4.249999999999999E2,1.000000000000000E2,7.850000000000000E-1,2.442877468505742E19
4.249999999999999E2,1.050000000000000E2,7.850000000000000E-1,2.448320932789590E19
4.249999999999999E2,1.100000000000000E2,7.850000000000000E-1,2.430596760682169E19
4.249999999999999E2,1.150000000000000E2,7.850000000000000E-1,2.511089987983126E19
4.249999999999999E2,1.200000000000000E2,7.850000000000000E-1,2.457948003685525E19
4.249999999999999E2,1.250000000000000E2,7.850000000000000E-1,2.553526272255496E19
4.249999999999999E2,1.300000000000000E2,7.850000000000000E-1,2.717840208376159E19
4.249999999999999E2,1.350000000000000E2,7.850000000000000E-1,2.677057572594072E19
4.249999999999999E2,1.400000000000000E2,7.850000000000000E-1,2.726537463696547E19
4.249999999999999E2,1.450000000000000E2,7.850000000000000E-1,2.723920808306766E19
4.249999999999999E2,1.500000000000000E2,7.850000000000000E-1,2.836134422677303E19
4.249999999999999E2,1.550000000000000E2,7.850000000000000E-1,2.912779642447197E19
4.249999999999999E2,1.600000000000000E2,7.850000000000000E-1,2.913166583092554E19
4.249999999999999E2,1.650000000000000E2,7.850000000000000E-1,3.054051268217346E19
4.249999999999999E2,1.700000000000000E2,7.850000000000000E-1,3.125436170854340E19
4.249999999999999E2,1.750000000000000E2,7.850000000000000E-1,3.040050881536058E19
4.249999999999999E2,1.800000000000000E2,7.850000000000000E-1,3.228427463431009E19
4.249999999999999E2,1.850000000000000E2,7.850000000000000E-1,3.361628576602627E19
4.249999999999999E2,1.900000000000000E2,7.850000000000000E-1,3.456445830990780E19
4.249999999999999E2,1.950000000000000E2,7.850000000000000E-1,3.487395430163954E19
