% Model,attempt10-785nm_step9.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 27 2025, 15:13"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.349999999999999E2,0.000000000000000E0,7.850000000000000E-1,2.689734642152589E19
4.349999999999999E2,4.999999999999999E0,7.850000000000000E-1,2.706315252002373E19
4.349999999999999E2,9.999999999999998E0,7.850000000000000E-1,2.638117787609341E19
4.349999999999999E2,1.500000000000000E1,7.850000000000000E-1,2.664537892880987E19
4.349999999999999E2,2.000000000000000E1,7.850000000000000E-1,2.577447183461132E19
4.349999999999999E2,2.500000000000000E1,7.850000000000000E-1,2.512201277999755E19
4.349999999999999E2,3.000000000000000E1,7.850000000000000E-1,2.519545914162286E19
4.349999999999999E2,3.500000000000000E1,7.850000000000000E-1,2.573232250464421E19
4.349999999999999E2,3.999999999999999E1,7.850000000000000E-1,2.557793170167383E19
4.349999999999999E2,4.500000000000000E1,7.850000000000000E-1,2.536022212077208E19
4.349999999999999E2,5.000000000000000E1,7.850000000000000E-1,2.523356421922006E19
4.349999999999999E2,5.499999999999999E1,7.850000000000000E-1,2.648509206697203E19
4.349999999999999E2,6.000000000000000E1,7.850000000000000E-1,2.580354830354629E19
4.349999999999999E2,6.499999999999999E1,7.850000000000000E-1,2.590053779375748E19
4.349999999999999E2,7.000000000000000E1,7.850000000000000E-1,2.669072006797664E19
4.349999999999999E2,7.500000000000000E1,7.850000000000000E-1,2.515318158308851E19
4.349999999999999E2,7.999999999999999E1,7.850000000000000E-1,2.617917913545270E19
4.349999999999999E2,8.500000000000000E1,7.850000000000000E-1,2.627725017326192E19
4.349999999999999E2,9.000000000000000E1,7.850000000000000E-1,2.596021494630279E19
4.349999999999999E2,9.499999999999999E1,7.850000000000000E-1,2.712804423690388E19
4.349999999999999E2,1.000000000000000E2,7.850000000000000E-1,2.739866748596721E19
4.349999999999999E2,1.050000000000000E2,7.850000000000000E-1,2.708138624792979E19
4.349999999999999E2,1.100000000000000E2,7.850000000000000E-1,2.741919389136922E19
4.349999999999999E2,1.150000000000000E2,7.850000000000000E-1,2.741705060142977E19
4.349999999999999E2,1.200000000000000E2,7.850000000000000E-1,2.901745232175138E19
4.349999999999999E2,1.250000000000000E2,7.850000000000000E-1,2.955991797706569E19
4.349999999999999E2,1.300000000000000E2,7.850000000000000E-1,2.907528056127872E19
4.349999999999999E2,1.350000000000000E2,7.850000000000000E-1,3.043439956362360E19
4.349999999999999E2,1.400000000000000E2,7.850000000000000E-1,3.023937268255896E19
4.349999999999999E2,1.450000000000000E2,7.850000000000000E-1,3.160829866395132E19
4.349999999999999E2,1.500000000000000E2,7.850000000000000E-1,3.160284172210443E19
4.349999999999999E2,1.550000000000000E2,7.850000000000000E-1,3.321079082381789E19
4.349999999999999E2,1.600000000000000E2,7.850000000000000E-1,3.406363379622271E19
4.349999999999999E2,1.650000000000000E2,7.850000000000000E-1,3.488298941535187E19
4.349999999999999E2,1.700000000000000E2,7.850000000000000E-1,3.632060016218917E19
4.349999999999999E2,1.750000000000000E2,7.850000000000000E-1,3.662813606059151E19
4.349999999999999E2,1.800000000000000E2,7.850000000000000E-1,3.942708768080409E19
4.349999999999999E2,1.850000000000000E2,7.850000000000000E-1,3.775169786973277E19
4.349999999999999E2,1.900000000000000E2,7.850000000000000E-1,3.926165039961163E19
4.349999999999999E2,1.950000000000000E2,7.850000000000000E-1,4.183135006788930E19
4.349999999999999E2,2.000000000000000E2,7.850000000000000E-1,4.212696103405371E19
4.349999999999999E2,2.050000000000000E2,7.850000000000000E-1,4.394505961326528E19
4.349999999999999E2,2.100000000000000E2,7.850000000000000E-1,4.705919697185828E19
4.349999999999999E2,2.150000000000000E2,7.850000000000000E-1,5.018891856306262E19
4.349999999999999E2,2.200000000000000E2,7.850000000000000E-1,5.023634433529201E19
