% Model,attempt10-785nm_step2.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 11 2025, 16:26"
% Table,E^4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
2.550000000000000E2,0.000000000000000E0,7.850000000000000E-1,1.393014650927497E18
2.550000000000000E2,4.999999999999999E0,7.850000000000000E-1,1.256288034510230E18
2.550000000000000E2,9.999999999999998E0,7.850000000000000E-1,1.198796645769090E18
2.550000000000000E2,1.500000000000000E1,7.850000000000000E-1,1.216204489847888E18
2.550000000000000E2,2.000000000000000E1,7.850000000000000E-1,1.211348100525276E18
2.550000000000000E2,2.500000000000000E1,7.850000000000000E-1,1.216554732629247E18
2.550000000000000E2,3.000000000000000E1,7.850000000000000E-1,1.214861935539822E18
2.550000000000000E2,3.500000000000000E1,7.850000000000000E-1,1.237257130154492E18
2.550000000000000E2,3.999999999999999E1,7.850000000000000E-1,1.233279211716401E18
2.550000000000000E2,4.500000000000000E1,7.850000000000000E-1,1.226340051988635E18
2.550000000000000E2,5.000000000000000E1,7.850000000000000E-1,1.260519683901376E18
2.550000000000000E2,5.499999999999999E1,7.850000000000000E-1,1.256878623476005E18
2.550000000000000E2,6.000000000000000E1,7.850000000000000E-1,1.281331895495710E18
2.550000000000000E2,6.499999999999999E1,7.850000000000000E-1,1.309023446683130E18
2.550000000000000E2,7.000000000000000E1,7.850000000000000E-1,1.274980042473617E18
2.550000000000000E2,7.500000000000000E1,7.850000000000000E-1,1.310804849485897E18
2.550000000000000E2,7.999999999999999E1,7.850000000000000E-1,1.276784404164121E18
2.550000000000000E2,8.500000000000000E1,7.850000000000000E-1,1.319707450040387E18
2.550000000000000E2,9.000000000000000E1,7.850000000000000E-1,1.300139455262091E18
2.550000000000000E2,9.499999999999999E1,7.850000000000000E-1,1.345090932445609E18
2.550000000000000E2,1.000000000000000E2,7.850000000000000E-1,1.338352537260541E18
2.550000000000000E2,1.050000000000000E2,7.850000000000000E-1,1.295577926732269E18
2.550000000000000E2,1.100000000000000E2,7.850000000000000E-1,1.330690118989038E18
2.550000000000000E2,1.150000000000000E2,7.850000000000000E-1,1.352997046235085E18
2.550000000000000E2,1.200000000000000E2,7.850000000000000E-1,1.337903325479458E18
2.550000000000000E2,1.250000000000000E2,7.850000000000000E-1,1.387990150365728E18
2.550000000000000E2,1.300000000000000E2,7.850000000000000E-1,1.355410547181082E18
2.550000000000000E2,1.350000000000000E2,7.850000000000000E-1,1.353601872675659E18
2.550000000000000E2,1.400000000000000E2,7.850000000000000E-1,1.393847177661468E18
2.550000000000000E2,1.450000000000000E2,7.850000000000000E-1,1.338676375151340E18
2.550000000000000E2,1.500000000000000E2,7.850000000000000E-1,1.383875246085763E18
2.550000000000000E2,1.550000000000000E2,7.850000000000000E-1,1.352710101333857E18
2.550000000000000E2,1.600000000000000E2,7.850000000000000E-1,1.381441116190339E18
2.550000000000000E2,1.650000000000000E2,7.850000000000000E-1,1.325579275362331E18
2.550000000000000E2,1.700000000000000E2,7.850000000000000E-1,1.385288340055495E18
2.550000000000000E2,1.750000000000000E2,7.850000000000000E-1,1.336241253847542E18
2.550000000000000E2,1.800000000000000E2,7.850000000000000E-1,1.420021985475380E18
2.550000000000000E2,1.850000000000000E2,7.850000000000000E-1,1.378401389281247E18
2.550000000000000E2,1.900000000000000E2,7.850000000000000E-1,1.394732291422777E18
2.550000000000000E2,1.950000000000000E2,7.850000000000000E-1,1.352910273203353E18
2.550000000000000E2,2.000000000000000E2,7.850000000000000E-1,1.397466626545319E18
2.550000000000000E2,2.050000000000000E2,7.850000000000000E-1,1.407717733495354E18
2.550000000000000E2,2.100000000000000E2,7.850000000000000E-1,1.399464574761983E18
2.550000000000000E2,2.150000000000000E2,7.850000000000000E-1,1.426681868891123E18
2.550000000000000E2,2.200000000000000E2,7.850000000000000E-1,1.384562666573120E18
2.550000000000000E2,2.250000000000000E2,7.850000000000000E-1,1.398471775950356E18
2.550000000000000E2,2.300000000000000E2,7.850000000000000E-1,1.389770411331986E18
2.550000000000000E2,2.350000000000000E2,7.850000000000000E-1,1.398193780332907E18
2.550000000000000E2,2.400000000000000E2,7.850000000000000E-1,1.376350866052698E18
2.550000000000000E2,2.450000000000000E2,7.850000000000000E-1,1.378188483398740E18
2.550000000000000E2,2.500000000000000E2,7.850000000000000E-1,1.454193296053739E18
2.550000000000000E2,2.550000000000000E2,7.850000000000000E-1,1.412955787741455E18
2.550000000000000E2,2.599999999999999E2,7.850000000000000E-1,1.403835717877374E18
