% Model,attempt10-785nm_step6.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 27 2025, 14:55"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.050000000000000E2,4.249999999999999E2,7.850000000000000E-1,8.436634822281134E18
4.050000000000000E2,4.299999999999999E2,7.850000000000000E-1,2.330870110513180E18
4.050000000000000E2,4.349999999999999E2,7.850000000000000E-1,9.158337182372579E17
4.050000000000000E2,4.399999999999999E2,7.850000000000000E-1,5.825351413036193E17
4.050000000000000E2,4.450000000000000E2,7.850000000000000E-1,5.543834697401885E17
4.050000000000000E2,4.500000000000000E2,7.850000000000000E-1,6.588473314213692E17
4.050000000000000E2,4.550000000000000E2,7.850000000000000E-1,8.413141395692266E17
4.050000000000000E2,4.600000000000000E2,7.850000000000000E-1,1.076553642531880E18
4.050000000000000E2,4.650000000000000E2,7.850000000000000E-1,1.361371458985633E18
4.050000000000000E2,4.700000000000000E2,7.850000000000000E-1,1.666212969822093E18
4.050000000000000E2,4.749999999999999E2,7.850000000000000E-1,1.972491371421010E18
4.050000000000000E2,4.800000000000000E2,7.850000000000000E-1,2.340614329739332E18
4.050000000000000E2,4.849999999999999E2,7.850000000000000E-1,2.734534086638570E18
4.050000000000000E2,4.900000000000000E2,7.850000000000000E-1,3.148079806009080E18
4.050000000000000E2,4.949999999999999E2,7.850000000000000E-1,3.534973764513978E18
4.050000000000000E2,5.000000000000000E2,7.850000000000000E-1,4.137911132746433E18
4.100000000000000E2,0.000000000000000E0,7.850000000000000E-1,1.975909023182137E19
4.100000000000000E2,4.999999999999999E0,7.850000000000000E-1,1.971652554038453E19
4.100000000000000E2,9.999999999999998E0,7.850000000000000E-1,1.930774045924954E19
4.100000000000000E2,1.500000000000000E1,7.850000000000000E-1,1.935728127057585E19
4.100000000000000E2,2.000000000000000E1,7.850000000000000E-1,1.876968605200668E19
4.100000000000000E2,2.500000000000000E1,7.850000000000000E-1,1.896335050396152E19
4.100000000000000E2,3.000000000000000E1,7.850000000000000E-1,1.869699226807600E19
4.100000000000000E2,3.500000000000000E1,7.850000000000000E-1,1.948513891097945E19
4.100000000000000E2,3.999999999999999E1,7.850000000000000E-1,1.891724953900352E19
4.100000000000000E2,4.500000000000000E1,7.850000000000000E-1,1.954707161777680E19
4.100000000000000E2,5.000000000000000E1,7.850000000000000E-1,1.896725591749981E19
4.100000000000000E2,5.499999999999999E1,7.850000000000000E-1,1.864194236307974E19
4.100000000000000E2,6.000000000000000E1,7.850000000000000E-1,1.944041528321789E19
4.100000000000000E2,6.499999999999999E1,7.850000000000000E-1,1.956979798136239E19
4.100000000000000E2,7.000000000000000E1,7.850000000000000E-1,1.937754988199368E19
4.100000000000000E2,7.500000000000000E1,7.850000000000000E-1,1.927396023294354E19
4.100000000000000E2,7.999999999999999E1,7.850000000000000E-1,1.932136689821828E19
4.100000000000000E2,8.500000000000000E1,7.850000000000000E-1,1.945458066592742E19
4.100000000000000E2,9.000000000000000E1,7.850000000000000E-1,2.029238762241463E19
4.100000000000000E2,9.499999999999999E1,7.850000000000000E-1,1.932253699355039E19
4.100000000000000E2,1.000000000000000E2,7.850000000000000E-1,2.067571477166673E19
4.100000000000000E2,1.050000000000000E2,7.850000000000000E-1,2.013013355096024E19
4.100000000000000E2,1.100000000000000E2,7.850000000000000E-1,2.042182130822612E19
4.100000000000000E2,1.150000000000000E2,7.850000000000000E-1,2.061177227877681E19
4.100000000000000E2,1.200000000000000E2,7.850000000000000E-1,2.072210159436797E19
4.100000000000000E2,1.250000000000000E2,7.850000000000000E-1,2.117153870598600E19
4.100000000000000E2,1.300000000000000E2,7.850000000000000E-1,2.096960862538103E19
4.100000000000000E2,1.350000000000000E2,7.850000000000000E-1,2.166000972524116E19
4.100000000000000E2,1.400000000000000E2,7.850000000000000E-1,2.189062609614397E19
4.100000000000000E2,1.450000000000000E2,7.850000000000000E-1,2.235648688639764E19
4.100000000000000E2,1.500000000000000E2,7.850000000000000E-1,2.212171249099692E19
4.100000000000000E2,1.550000000000000E2,7.850000000000000E-1,2.264297786495553E19
4.100000000000000E2,1.600000000000000E2,7.850000000000000E-1,2.279847912763616E19
4.100000000000000E2,1.650000000000000E2,7.850000000000000E-1,2.446195863434391E19
4.100000000000000E2,1.700000000000000E2,7.850000000000000E-1,2.429246788596969E19
4.100000000000000E2,1.750000000000000E2,7.850000000000000E-1,2.522308531071700E19
4.100000000000000E2,1.800000000000000E2,7.850000000000000E-1,2.449575728302250E19
4.100000000000000E2,1.850000000000000E2,7.850000000000000E-1,2.561003796134160E19
