% Model,attempt8 - ate 450nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Sep 18 2025, 10:25"
% Table,E^4_ate_450nm(sem o plano) - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
3.500000000000000E2,1.250000000000000E1,6.330000000000000E-1,4.308180891434665E19
3.500000000000000E2,2.500000000000000E1,6.330000000000000E-1,3.885836925828422E19
3.500000000000000E2,3.750000000000000E1,6.330000000000000E-1,3.736713607314685E19
3.500000000000000E2,5.000000000000000E1,6.330000000000000E-1,3.611142238803128E19
3.500000000000000E2,6.250000000000000E1,6.330000000000000E-1,3.879856730000341E19
3.500000000000000E2,7.500000000000000E1,6.330000000000000E-1,3.905539262777940E19
3.500000000000000E2,8.750000000000000E1,6.330000000000000E-1,4.297707684927432E19
3.500000000000000E2,1.000000000000000E2,6.330000000000000E-1,4.461835741035317E19
3.500000000000000E2,1.125000000000000E2,6.330000000000000E-1,4.810319117657588E19
3.500000000000000E2,1.250000000000000E2,6.330000000000000E-1,5.244478652178326E19
3.500000000000000E2,1.375000000000000E2,6.330000000000000E-1,5.771060011093364E19
3.500000000000000E2,1.500000000000000E2,6.330000000000000E-1,6.512502436639602E19
3.500000000000000E2,1.625000000000000E2,6.330000000000000E-1,7.423108679231480E19
3.500000000000000E2,1.750000000000000E2,6.330000000000000E-1,9.075240921203642E19
3.500000000000000E2,1.875000000000000E2,6.330000000000000E-1,1.063322016164749E20
3.500000000000000E2,2.000000000000000E2,6.330000000000000E-1,1.344492822207875E20
3.500000000000000E2,2.125000000000000E2,6.330000000000000E-1,1.662919148591821E20
3.500000000000000E2,2.250000000000000E2,6.330000000000000E-1,2.307160951723179E20
3.500000000000000E2,2.375000000000000E2,6.330000000000000E-1,3.382310915872442E20
3.500000000000000E2,2.500000000000000E2,6.330000000000000E-1,5.088178038926838E20
3.500000000000000E2,2.625000000000000E2,6.330000000000000E-1,6.090933533304417E20
3.500000000000000E2,2.750000000000000E2,6.330000000000000E-1,3.086261821351464E20
3.500000000000000E2,2.874999999999999E2,6.330000000000000E-1,3.551063232585301E19
3.500000000000000E2,3.000000000000000E2,6.330000000000000E-1,8.538246117230999E18
3.500000000000000E2,3.125000000000000E2,6.330000000000000E-1,1.040170907127576E19
3.500000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.111031323615904E18
3.500000000000000E2,3.374999999999999E2,6.330000000000000E-1,1.681677916429419E18
3.500000000000000E2,3.500000000000000E2,6.330000000000000E-1,3.702885293190494E18
3.500000000000000E2,3.625000000000000E2,6.330000000000000E-1,7.060568420692580E18
3.500000000000000E2,3.749999999999999E2,6.330000000000000E-1,1.230533556114350E19
3.500000000000000E2,3.875000000000000E2,6.330000000000000E-1,2.139714661704831E19
3.500000000000000E2,4.000000000000000E2,6.330000000000000E-1,3.627112885475895E19
3.500000000000000E2,4.125000000000000E2,6.330000000000000E-1,7.149333605803955E19
3.500000000000000E2,4.249999999999999E2,6.330000000000000E-1,1.695634912045289E20
3.500000000000000E2,4.375000000000000E2,6.330000000000000E-1,6.535448675049660E20
3.500000000000000E2,4.500000000000000E2,6.330000000000000E-1,4.987619321552924E21
3.500000000000000E2,4.624999999999999E2,6.330000000000000E-1,2.431782599833680E20
3.500000000000000E2,4.749999999999999E2,6.330000000000000E-1,2.840885653063984E17
3.500000000000000E2,4.874999999999999E2,6.330000000000000E-1,2.547887533524563E17
3.500000000000000E2,5.000000000000000E2,6.330000000000000E-1,1.414768808265819E18
3.625000000000000E2,0.000000000000000E0,6.330000000000000E-1,7.964143010597301E19
3.625000000000000E2,1.250000000000000E1,6.330000000000000E-1,4.655814708325622E19
3.625000000000000E2,2.500000000000000E1,6.330000000000000E-1,4.157806864409050E19
3.625000000000000E2,3.750000000000000E1,6.330000000000000E-1,4.015281447976324E19
3.625000000000000E2,5.000000000000000E1,6.330000000000000E-1,4.062823449296378E19
3.625000000000000E2,6.250000000000000E1,6.330000000000000E-1,4.300380868262039E19
3.625000000000000E2,7.500000000000000E1,6.330000000000000E-1,4.328550757696502E19
3.625000000000000E2,8.750000000000000E1,6.330000000000000E-1,4.543034231939486E19
3.625000000000000E2,1.000000000000000E2,6.330000000000000E-1,4.799293667967398E19
3.625000000000000E2,1.125000000000000E2,6.330000000000000E-1,5.437256661727215E19
3.625000000000000E2,1.250000000000000E2,6.330000000000000E-1,5.897333747254239E19
3.625000000000000E2,1.375000000000000E2,6.330000000000000E-1,6.657138972926266E19
3.625000000000000E2,1.500000000000000E2,6.330000000000000E-1,7.644275002912537E19
3.625000000000000E2,1.625000000000000E2,6.330000000000000E-1,8.923877240955848E19
3.625000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.043214277660458E20
3.625000000000000E2,1.875000000000000E2,6.330000000000000E-1,1.350490594432032E20
3.625000000000000E2,2.000000000000000E2,6.330000000000000E-1,1.715725384286603E20
3.625000000000000E2,2.125000000000000E2,6.330000000000000E-1,2.336486581844384E20
3.625000000000000E2,2.250000000000000E2,6.330000000000000E-1,3.130515052715124E20
3.625000000000000E2,2.375000000000000E2,6.330000000000000E-1,4.139990271766201E20
3.625000000000000E2,2.500000000000000E2,6.330000000000000E-1,4.343717292614116E20
3.625000000000000E2,2.625000000000000E2,6.330000000000000E-1,2.423750799354564E20
3.625000000000000E2,2.750000000000000E2,6.330000000000000E-1,2.824371850561069E19
3.625000000000000E2,2.874999999999999E2,6.330000000000000E-1,3.368065423574618E19
3.625000000000000E2,3.000000000000000E2,6.330000000000000E-1,1.197693985250176E19
3.625000000000000E2,3.125000000000000E2,6.330000000000000E-1,1.039753250370983E18
3.625000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.384036440139099E18
3.625000000000000E2,3.374999999999999E2,6.330000000000000E-1,3.297317677908212E18
3.625000000000000E2,3.500000000000000E2,6.330000000000000E-1,7.144624554037072E18
3.625000000000000E2,3.625000000000000E2,6.330000000000000E-1,1.466816912932204E19
3.625000000000000E2,3.749999999999999E2,6.330000000000000E-1,2.897539580310619E19
3.625000000000000E2,3.875000000000000E2,6.330000000000000E-1,6.082812297343506E19
3.625000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.680299013666386E20
3.625000000000000E2,4.125000000000000E2,6.330000000000000E-1,8.831033548465899E20
3.625000000000000E2,4.249999999999999E2,6.330000000000000E-1,2.975224211677853E21
3.625000000000000E2,4.375000000000000E2,6.330000000000000E-1,3.106736539645898E19
3.625000000000000E2,4.500000000000000E2,6.330000000000000E-1,2.231766396670056E17
3.625000000000000E2,4.624999999999999E2,6.330000000000000E-1,1.349579944905785E18
3.625000000000000E2,4.749999999999999E2,6.330000000000000E-1,4.466535308433039E18
3.625000000000000E2,4.874999999999999E2,6.330000000000000E-1,1.059395250360600E19
3.625000000000000E2,5.000000000000000E2,6.330000000000000E-1,2.285038428727544E19
3.749999999999999E2,0.000000000000000E0,6.330000000000000E-1,8.686794582006007E19
3.749999999999999E2,2.500000000000000E1,6.330000000000000E-1,4.296133671484722E19
3.749999999999999E2,3.750000000000000E1,6.330000000000000E-1,4.186275029433423E19
3.749999999999999E2,5.000000000000000E1,6.330000000000000E-1,4.236066895422020E19
3.749999999999999E2,6.250000000000000E1,6.330000000000000E-1,4.447368215236688E19
3.749999999999999E2,7.500000000000000E1,6.330000000000000E-1,4.648572483354028E19
3.749999999999999E2,8.750000000000000E1,6.330000000000000E-1,4.849961694658197E19
3.749999999999999E2,1.000000000000000E2,6.330000000000000E-1,5.192716332297053E19
3.749999999999999E2,1.125000000000000E2,6.330000000000000E-1,5.921381770433660E19
3.749999999999999E2,1.250000000000000E2,6.330000000000000E-1,6.568662782795196E19
3.749999999999999E2,1.375000000000000E2,6.330000000000000E-1,7.463789716195338E19
3.749999999999999E2,1.500000000000000E2,6.330000000000000E-1,9.026927884580602E19
3.749999999999999E2,1.625000000000000E2,6.330000000000000E-1,1.068839554638694E20
3.749999999999999E2,1.750000000000000E2,6.330000000000000E-1,1.252965572161312E20
3.749999999999999E2,1.875000000000000E2,6.330000000000000E-1,1.669931272289714E20
3.749999999999999E2,2.000000000000000E2,6.330000000000000E-1,2.080949939971498E20
3.749999999999999E2,2.125000000000000E2,6.330000000000000E-1,2.759606571951152E20
3.749999999999999E2,2.250000000000000E2,6.330000000000000E-1,3.638775749501663E20
3.749999999999999E2,2.375000000000000E2,6.330000000000000E-1,3.435109261906805E20
3.749999999999999E2,2.500000000000000E2,6.330000000000000E-1,1.798436043346772E20
3.749999999999999E2,2.625000000000000E2,6.330000000000000E-1,2.382479132962077E19
3.749999999999999E2,2.750000000000000E2,6.330000000000000E-1,9.430231496239392E19
3.749999999999999E2,2.874999999999999E2,6.330000000000000E-1,1.291281811903999E19
3.749999999999999E2,3.000000000000000E2,6.330000000000000E-1,1.026937425071819E18
3.749999999999999E2,3.125000000000000E2,6.330000000000000E-1,1.185118463751773E18
3.749999999999999E2,3.250000000000000E2,6.330000000000000E-1,3.171109669492123E18
3.749999999999999E2,3.374999999999999E2,6.330000000000000E-1,7.665856121407662E18
3.749999999999999E2,3.500000000000000E2,6.330000000000000E-1,1.764343468976545E19
3.749999999999999E2,3.625000000000000E2,6.330000000000000E-1,4.234365510819725E19
3.749999999999999E2,3.749999999999999E2,6.330000000000000E-1,1.382121485373507E20
3.749999999999999E2,3.875000000000000E2,6.330000000000000E-1,1.085031472027949E21
3.749999999999999E2,4.000000000000000E2,6.330000000000000E-1,7.154183707068047E20
3.749999999999999E2,4.125000000000000E2,6.330000000000000E-1,1.172163326045457E19
3.749999999999999E2,4.249999999999999E2,6.330000000000000E-1,2.050554411240107E18
3.749999999999999E2,4.375000000000000E2,6.330000000000000E-1,3.709354470022066E18
3.749999999999999E2,4.500000000000000E2,6.330000000000000E-1,8.208469385229902E18
3.749999999999999E2,4.624999999999999E2,6.330000000000000E-1,1.707641480253410E19
3.749999999999999E2,4.749999999999999E2,6.330000000000000E-1,3.228562541878818E19
