% Model,attempt8.mph
% Version,COMSOL 6.1.0.282
% Date,"Aug 27 2025, 15:24"
% Table,ewfd.normE^4_ate_325nm - 
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
2.125000000000000E2,3.374999999999999E2,6.330000000000000E-1,7.082237901686152E18
2.125000000000000E2,3.500000000000000E2,6.330000000000000E-1,7.289739965522966E18
2.125000000000000E2,3.625000000000000E2,6.330000000000000E-1,7.674659487076034E18
2.125000000000000E2,3.749999999999999E2,6.330000000000000E-1,8.417206701978664E18
2.125000000000000E2,3.875000000000000E2,6.330000000000000E-1,9.993490174982838E18
2.125000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.478193808883827E19
2.125000000000000E2,4.125000000000000E2,6.330000000000000E-1,6.995020388640565E19
2.125000000000000E2,4.249999999999999E2,6.330000000000000E-1,5.892137796440357E20
2.125000000000000E2,4.375000000000000E2,6.330000000000000E-1,3.457835380032253E19
2.125000000000000E2,4.500000000000000E2,6.330000000000000E-1,1.789275492303574E19
2.125000000000000E2,4.624999999999999E2,6.330000000000000E-1,1.761517795281681E20
2.125000000000000E2,4.749999999999999E2,6.330000000000000E-1,1.026337690751024E19
2.125000000000000E2,4.874999999999999E2,6.330000000000000E-1,9.175877784024569E18
2.125000000000000E2,5.000000000000000E2,6.330000000000000E-1,8.992426613131353E18
2.250000000000000E2,0.000000000000000E0,6.330000000000000E-1,3.505403688554956E18
2.250000000000000E2,1.250000000000000E1,6.330000000000000E-1,3.696504460167084E18
2.250000000000000E2,2.500000000000000E1,6.330000000000000E-1,3.901562360482896E18
2.250000000000000E2,3.750000000000000E1,6.330000000000000E-1,4.073875000776491E18
2.250000000000000E2,5.000000000000000E1,6.330000000000000E-1,4.232715716330578E18
2.250000000000000E2,6.250000000000000E1,6.330000000000000E-1,4.434062205497173E18
2.250000000000000E2,7.500000000000000E1,6.330000000000000E-1,4.662261344223537E18
2.250000000000000E2,8.750000000000000E1,6.330000000000000E-1,4.799350861574827E18
2.250000000000000E2,1.000000000000000E2,6.330000000000000E-1,4.877772592644441E18
2.250000000000000E2,1.125000000000000E2,6.330000000000000E-1,5.202356656323383E18
2.250000000000000E2,1.250000000000000E2,6.330000000000000E-1,5.368593645346581E18
2.250000000000000E2,1.375000000000000E2,6.330000000000000E-1,5.570489278890036E18
2.250000000000000E2,1.500000000000000E2,6.330000000000000E-1,5.679119080487615E18
2.250000000000000E2,1.625000000000000E2,6.330000000000000E-1,5.997169511545322E18
2.250000000000000E2,1.750000000000000E2,6.330000000000000E-1,6.001360107398605E18
