% Model,attempt7 - 45deg ate 600 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:41"
% Table,Table 4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
3.500000000000000E2,5.250000000000000E2,6.330000000000000E-1,3.285513943764069E19
3.500000000000000E2,5.500000000000000E2,6.330000000000000E-1,5.892345290879755E20
3.500000000000000E2,5.749999999999999E2,6.330000000000000E-1,4.120100570442558E20
3.500000000000000E2,6.000000000000000E2,6.330000000000000E-1,2.252794422108343E19
3.500000000000000E2,6.250000000000000E2,6.330000000000000E-1,3.148280438662161E19
3.500000000000000E2,6.500000000000000E2,6.330000000000000E-1,4.934779102247979E19
3.500000000000000E2,6.749999999999999E2,6.330000000000000E-1,6.595704979299895E19
3.500000000000000E2,7.000000000000000E2,6.330000000000000E-1,1.195062970268040E20
3.749999999999999E2,0.000000000000000E0,6.330000000000000E-1,8.248585678080292E19
3.749999999999999E2,2.500000000000000E1,6.330000000000000E-1,6.269688141789641E19
3.749999999999999E2,5.000000000000000E1,6.330000000000000E-1,7.533141961209076E19
3.749999999999999E2,7.500000000000000E1,6.330000000000000E-1,8.496902701457746E19
3.749999999999999E2,1.000000000000000E2,6.330000000000000E-1,1.055056222920819E20
3.749999999999999E2,1.250000000000000E2,6.330000000000000E-1,1.386311012143105E20
3.749999999999999E2,1.500000000000000E2,6.330000000000000E-1,1.892247838047979E20
3.749999999999999E2,1.750000000000000E2,6.330000000000000E-1,2.884728463629909E20
3.749999999999999E2,2.000000000000000E2,6.330000000000000E-1,4.602066768537196E20
3.749999999999999E2,2.250000000000000E2,6.330000000000000E-1,6.777123553229757E20
3.749999999999999E2,2.500000000000000E2,6.330000000000000E-1,2.643893701228850E20
3.749999999999999E2,2.750000000000000E2,6.330000000000000E-1,2.649475184705574E20
3.749999999999999E2,3.000000000000000E2,6.330000000000000E-1,1.520055581414756E18
3.749999999999999E2,3.250000000000000E2,6.330000000000000E-1,6.500770870402775E18
3.749999999999999E2,3.500000000000000E2,6.330000000000000E-1,4.268841100904713E19
3.749999999999999E2,3.749999999999999E2,6.330000000000000E-1,3.960185078972281E20
3.749999999999999E2,4.000000000000000E2,6.330000000000000E-1,6.448790768280220E20
3.749999999999999E2,4.249999999999999E2,6.330000000000000E-1,2.266321884492646E18
3.749999999999999E2,4.500000000000000E2,6.330000000000000E-1,2.005441011093554E19
3.749999999999999E2,4.749999999999999E2,6.330000000000000E-1,7.926799596922636E19
3.749999999999999E2,5.000000000000000E2,6.330000000000000E-1,4.334374079129823E20
3.749999999999999E2,5.250000000000000E2,6.330000000000000E-1,9.307231820888746E20
3.749999999999999E2,5.500000000000000E2,6.330000000000000E-1,8.894877778558445E19
3.749999999999999E2,5.749999999999999E2,6.330000000000000E-1,1.272408899940134E19
3.749999999999999E2,6.000000000000000E2,6.330000000000000E-1,2.606046289170983E19
3.749999999999999E2,6.250000000000000E2,6.330000000000000E-1,6.453928343452308E19
3.749999999999999E2,6.500000000000000E2,6.330000000000000E-1,1.365205211898290E20
3.749999999999999E2,6.749999999999999E2,6.330000000000000E-1,3.969144287593409E20
3.749999999999999E2,7.000000000000000E2,6.330000000000000E-1,1.757815898650635E21
4.000000000000000E2,0.000000000000000E0,6.330000000000000E-1,7.597239074998531E19
4.000000000000000E2,2.500000000000000E1,6.330000000000000E-1,6.301045076888668E19
4.000000000000000E2,5.000000000000000E1,6.330000000000000E-1,6.903283473307492E19
4.000000000000000E2,7.500000000000000E1,6.330000000000000E-1,8.640778230974775E19
4.000000000000000E2,1.000000000000000E2,6.330000000000000E-1,1.136832332769616E20
4.000000000000000E2,1.250000000000000E2,6.330000000000000E-1,1.412522366516763E20
4.000000000000000E2,1.500000000000000E2,6.330000000000000E-1,2.024279210313438E20
4.000000000000000E2,1.750000000000000E2,6.330000000000000E-1,2.972349634282055E20
4.000000000000000E2,2.000000000000000E2,6.330000000000000E-1,4.120432361847900E20
4.000000000000000E2,2.250000000000000E2,6.330000000000000E-1,1.771070024632378E20
4.000000000000000E2,2.500000000000000E2,6.330000000000000E-1,5.004076919474384E20
4.000000000000000E2,2.750000000000000E2,6.330000000000000E-1,1.419537794956234E18
4.000000000000000E2,3.000000000000000E2,6.330000000000000E-1,6.870564023542887E18
4.000000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.325603473915060E20
