% Model,attempt9-3.mph
% Version,COMSOL 6.1.0.282
% Date,"Sep 23 2025, 10:05"
% Table,E^4_ate_500nm - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
2.500000000000000E1,3.125000000000000E2,6.330000000000000E-1,4.751604570930028E16
2.500000000000000E1,3.250000000000000E2,6.330000000000000E-1,5.098968059969011E16
2.500000000000000E1,3.374999999999999E2,6.330000000000000E-1,5.450891312669478E16
2.500000000000000E1,3.500000000000000E2,6.330000000000000E-1,5.816883192160874E16
2.500000000000000E1,3.625000000000000E2,6.330000000000000E-1,6.201851492533787E16
2.500000000000000E1,3.749999999999999E2,6.330000000000000E-1,6.594979130678390E16
2.500000000000000E1,3.875000000000000E2,6.330000000000000E-1,7.000252212528545E16
2.500000000000000E1,4.000000000000000E2,6.330000000000000E-1,7.419177321992666E16
2.500000000000000E1,4.125000000000000E2,6.330000000000000E-1,7.846839576238717E16
2.500000000000000E1,4.249999999999999E2,6.330000000000000E-1,8.291658237804730E16
2.500000000000000E1,4.375000000000000E2,6.330000000000000E-1,8.752021324083904E16
2.500000000000000E1,4.500000000000000E2,6.330000000000000E-1,9.220248026187786E16
2.500000000000000E1,4.624999999999999E2,6.330000000000000E-1,9.698309984410102E16
2.500000000000000E1,4.749999999999999E2,6.330000000000000E-1,1.019441621202077E17
2.500000000000000E1,4.874999999999999E2,6.330000000000000E-1,1.069356410212902E17
2.500000000000000E1,5.000000000000000E2,6.330000000000000E-1,1.122272673504720E17
3.750000000000000E1,3.125000000000000E2,6.330000000000000E-1,5.460272220393474E16
3.750000000000000E1,3.250000000000000E2,6.330000000000000E-1,5.814892915366896E16
3.750000000000000E1,3.374999999999999E2,6.330000000000000E-1,6.171620199680269E16
3.750000000000000E1,3.500000000000000E2,6.330000000000000E-1,6.566852872753059E16
3.750000000000000E1,3.625000000000000E2,6.330000000000000E-1,6.961778530575650E16
3.750000000000000E1,3.749999999999999E2,6.330000000000000E-1,7.355224406444181E16
3.750000000000000E1,3.875000000000000E2,6.330000000000000E-1,7.780685917373528E16
3.750000000000000E1,4.000000000000000E2,6.330000000000000E-1,8.210899522269635E16
3.750000000000000E1,4.125000000000000E2,6.330000000000000E-1,8.658957320348882E16
3.750000000000000E1,4.249999999999999E2,6.330000000000000E-1,9.111551463403811E16
3.750000000000000E1,4.375000000000000E2,6.330000000000000E-1,9.583629119346378E16
3.750000000000000E1,4.500000000000000E2,6.330000000000000E-1,1.005786391588885E17
3.750000000000000E1,4.624999999999999E2,6.330000000000000E-1,1.055817812544825E17
3.750000000000000E1,4.749999999999999E2,6.330000000000000E-1,1.105413352317128E17
3.750000000000000E1,4.874999999999999E2,6.330000000000000E-1,1.157360251109288E17
3.750000000000000E1,5.000000000000000E2,6.330000000000000E-1,1.210651352076953E17
5.000000000000000E1,3.125000000000000E2,6.330000000000000E-1,6.490875727809000E16
5.000000000000000E1,3.250000000000000E2,6.330000000000000E-1,6.865915966896110E16
5.000000000000000E1,3.374999999999999E2,6.330000000000000E-1,7.219727709468810E16
5.000000000000000E1,3.500000000000000E2,6.330000000000000E-1,7.656943624129525E16
5.000000000000000E1,3.625000000000000E2,6.330000000000000E-1,8.010075771024125E16
5.000000000000000E1,3.749999999999999E2,6.330000000000000E-1,8.431472116802157E16
5.000000000000000E1,3.875000000000000E2,6.330000000000000E-1,8.888443961191366E16
5.000000000000000E1,4.000000000000000E2,6.330000000000000E-1,9.290025814892445E16
5.000000000000000E1,4.125000000000000E2,6.330000000000000E-1,9.778170861345381E16
5.000000000000000E1,4.249999999999999E2,6.330000000000000E-1,1.024982667881158E17
5.000000000000000E1,4.375000000000000E2,6.330000000000000E-1,1.072479062384593E17
5.000000000000000E1,4.500000000000000E2,6.330000000000000E-1,1.122743771031234E17
