% Model,attempt10-785nm_step7.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 27 2025, 15:12"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.150000000000000E2,1.050000000000000E2,7.850000000000000E-1,2.150346609013377E19
4.150000000000000E2,1.100000000000000E2,7.850000000000000E-1,2.165486540494846E19
4.150000000000000E2,1.150000000000000E2,7.850000000000000E-1,2.259196871663105E19
4.150000000000000E2,1.200000000000000E2,7.850000000000000E-1,2.193758259383995E19
4.150000000000000E2,1.250000000000000E2,7.850000000000000E-1,2.342438324909043E19
4.150000000000000E2,1.300000000000000E2,7.850000000000000E-1,2.243432291825093E19
4.150000000000000E2,1.350000000000000E2,7.850000000000000E-1,2.281394572855782E19
4.150000000000000E2,1.400000000000000E2,7.850000000000000E-1,2.331192413523726E19
4.150000000000000E2,1.450000000000000E2,7.850000000000000E-1,2.417652781987037E19
4.150000000000000E2,1.500000000000000E2,7.850000000000000E-1,2.465791945980060E19
4.150000000000000E2,1.550000000000000E2,7.850000000000000E-1,2.470332329158817E19
4.150000000000000E2,1.600000000000000E2,7.850000000000000E-1,2.592915217395803E19
4.150000000000000E2,1.650000000000000E2,7.850000000000000E-1,2.599051839183072E19
4.150000000000000E2,1.700000000000000E2,7.850000000000000E-1,2.688198474678707E19
4.150000000000000E2,1.750000000000000E2,7.850000000000000E-1,2.641340569566158E19
4.150000000000000E2,1.800000000000000E2,7.850000000000000E-1,2.719282850498256E19
4.150000000000000E2,1.850000000000000E2,7.850000000000000E-1,2.784639882128665E19
4.150000000000000E2,1.900000000000000E2,7.850000000000000E-1,2.907149393321853E19
4.150000000000000E2,1.950000000000000E2,7.850000000000000E-1,2.930067964246742E19
4.150000000000000E2,2.000000000000000E2,7.850000000000000E-1,2.925533603805719E19
4.150000000000000E2,2.050000000000000E2,7.850000000000000E-1,3.052931237922599E19
4.150000000000000E2,2.100000000000000E2,7.850000000000000E-1,3.267189621005575E19
4.150000000000000E2,2.150000000000000E2,7.850000000000000E-1,3.169761240281822E19
4.150000000000000E2,2.200000000000000E2,7.850000000000000E-1,3.360713033814161E19
4.150000000000000E2,2.250000000000000E2,7.850000000000000E-1,3.456821312787662E19
4.150000000000000E2,2.300000000000000E2,7.850000000000000E-1,3.635373954839782E19
4.150000000000000E2,2.350000000000000E2,7.850000000000000E-1,3.789534149855017E19
4.150000000000000E2,2.400000000000000E2,7.850000000000000E-1,4.018975411100216E19
4.150000000000000E2,2.450000000000000E2,7.850000000000000E-1,4.227629500369075E19
4.150000000000000E2,2.500000000000000E2,7.850000000000000E-1,4.285874571225614E19
4.150000000000000E2,2.550000000000000E2,7.850000000000000E-1,4.726128894019904E19
4.150000000000000E2,2.599999999999999E2,7.850000000000000E-1,4.787889604993444E19
4.150000000000000E2,2.650000000000000E2,7.850000000000000E-1,5.314220600589271E19
