% Model,attempt10-785nm_step5.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 11 2025, 16:29"
% Table,E^4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
3.649999999999999E2,0.000000000000000E0,7.850000000000000E-1,9.945233707697668E18
3.649999999999999E2,4.999999999999999E0,7.850000000000000E-1,9.608330164927939E18
3.649999999999999E2,9.999999999999998E0,7.850000000000000E-1,9.345609933296083E18
3.649999999999999E2,1.500000000000000E1,7.850000000000000E-1,9.421804818182943E18
3.649999999999999E2,2.000000000000000E1,7.850000000000000E-1,9.207316233210437E18
3.649999999999999E2,2.500000000000000E1,7.850000000000000E-1,9.390612531063523E18
3.649999999999999E2,3.000000000000000E1,7.850000000000000E-1,9.236128338237980E18
3.649999999999999E2,3.500000000000000E1,7.850000000000000E-1,9.104455484601016E18
3.649999999999999E2,3.999999999999999E1,7.850000000000000E-1,9.565997631237255E18
3.649999999999999E2,4.500000000000000E1,7.850000000000000E-1,9.394771464360729E18
3.649999999999999E2,5.000000000000000E1,7.850000000000000E-1,9.410824989437985E18
3.649999999999999E2,5.499999999999999E1,7.850000000000000E-1,9.904983057502188E18
3.649999999999999E2,6.000000000000000E1,7.850000000000000E-1,9.524742298617643E18
3.649999999999999E2,6.499999999999999E1,7.850000000000000E-1,9.538249761334448E18
3.649999999999999E2,7.000000000000000E1,7.850000000000000E-1,9.987454712732822E18
3.649999999999999E2,7.500000000000000E1,7.850000000000000E-1,9.920582522284487E18
3.649999999999999E2,7.999999999999999E1,7.850000000000000E-1,9.718110508476242E18
3.649999999999999E2,8.500000000000000E1,7.850000000000000E-1,9.893320635238732E18
3.649999999999999E2,9.000000000000000E1,7.850000000000000E-1,9.791227343929305E18
3.649999999999999E2,9.499999999999999E1,7.850000000000000E-1,9.723895434537533E18
3.649999999999999E2,1.000000000000000E2,7.850000000000000E-1,9.711927529034316E18
3.649999999999999E2,1.050000000000000E2,7.850000000000000E-1,1.027845240733948E19
3.649999999999999E2,1.100000000000000E2,7.850000000000000E-1,1.025125553383965E19
3.649999999999999E2,1.150000000000000E2,7.850000000000000E-1,1.022337414412940E19
3.649999999999999E2,1.200000000000000E2,7.850000000000000E-1,1.012130749075896E19
3.649999999999999E2,1.250000000000000E2,7.850000000000000E-1,9.986572035576865E18
3.649999999999999E2,1.300000000000000E2,7.850000000000000E-1,1.044829800436113E19
3.649999999999999E2,1.350000000000000E2,7.850000000000000E-1,1.020457314127657E19
3.649999999999999E2,1.400000000000000E2,7.850000000000000E-1,9.900887852368611E18
3.649999999999999E2,1.450000000000000E2,7.850000000000000E-1,1.022856256346628E19
3.649999999999999E2,1.500000000000000E2,7.850000000000000E-1,1.067003566651809E19
3.649999999999999E2,1.550000000000000E2,7.850000000000000E-1,1.062482215082247E19
3.649999999999999E2,1.600000000000000E2,7.850000000000000E-1,1.076809813369061E19
3.649999999999999E2,1.650000000000000E2,7.850000000000000E-1,1.129340469792176E19
3.649999999999999E2,1.700000000000000E2,7.850000000000000E-1,1.121761882269269E19
3.649999999999999E2,1.750000000000000E2,7.850000000000000E-1,1.103534225203331E19
3.649999999999999E2,1.800000000000000E2,7.850000000000000E-1,1.172547375845171E19
3.649999999999999E2,1.850000000000000E2,7.850000000000000E-1,1.131998953863908E19
3.649999999999999E2,1.900000000000000E2,7.850000000000000E-1,1.157967029275052E19
3.649999999999999E2,1.950000000000000E2,7.850000000000000E-1,1.209364191387405E19
3.649999999999999E2,2.000000000000000E2,7.850000000000000E-1,1.145255603578849E19
3.649999999999999E2,2.050000000000000E2,7.850000000000000E-1,1.144969573568138E19
3.649999999999999E2,2.100000000000000E2,7.850000000000000E-1,1.241225740488925E19
3.649999999999999E2,2.150000000000000E2,7.850000000000000E-1,1.229011164348342E19
3.649999999999999E2,2.200000000000000E2,7.850000000000000E-1,1.257894095690785E19
3.649999999999999E2,2.250000000000000E2,7.850000000000000E-1,1.288467188182628E19
3.649999999999999E2,2.300000000000000E2,7.850000000000000E-1,1.293329576952708E19
3.649999999999999E2,2.350000000000000E2,7.850000000000000E-1,1.369790138670897E19
3.649999999999999E2,2.400000000000000E2,7.850000000000000E-1,1.398796877300160E19
3.649999999999999E2,2.450000000000000E2,7.850000000000000E-1,1.365813250382116E19
3.649999999999999E2,2.500000000000000E2,7.850000000000000E-1,1.417174659889100E19
3.649999999999999E2,2.550000000000000E2,7.850000000000000E-1,1.409646568158369E19
3.649999999999999E2,2.599999999999999E2,7.850000000000000E-1,1.497108354849917E19
3.649999999999999E2,2.650000000000000E2,7.850000000000000E-1,1.523365452379826E19
3.649999999999999E2,2.700000000000000E2,7.850000000000000E-1,1.565532742880863E19
3.649999999999999E2,2.750000000000000E2,7.850000000000000E-1,1.549882575910100E19
3.649999999999999E2,2.800000000000000E2,7.850000000000000E-1,1.593499418866392E19
3.649999999999999E2,2.850000000000000E2,7.850000000000000E-1,1.661601609501199E19
3.649999999999999E2,2.900000000000000E2,7.850000000000000E-1,1.723103330646876E19
3.649999999999999E2,2.950000000000000E2,7.850000000000000E-1,1.752748321519837E19
3.649999999999999E2,3.000000000000000E2,7.850000000000000E-1,1.815954918590032E19
3.649999999999999E2,3.050000000000000E2,7.850000000000000E-1,1.866303873026365E19
3.649999999999999E2,3.099999999999999E2,7.850000000000000E-1,2.006913014431302E19
3.649999999999999E2,3.149999999999999E2,7.850000000000000E-1,2.017890847569889E19
3.649999999999999E2,3.199999999999999E2,7.850000000000000E-1,2.045568716415211E19
3.649999999999999E2,3.250000000000000E2,7.850000000000000E-1,2.281681583279545E19
3.649999999999999E2,3.300000000000000E2,7.850000000000000E-1,2.346871352443640E19
3.649999999999999E2,3.350000000000000E2,7.850000000000000E-1,2.474792195187348E19
3.649999999999999E2,3.400000000000000E2,7.850000000000000E-1,2.517717540316332E19
3.649999999999999E2,3.450000000000000E2,7.850000000000000E-1,2.733943537761639E19
3.649999999999999E2,3.500000000000000E2,7.850000000000000E-1,3.134655979815226E19
3.649999999999999E2,3.550000000000000E2,7.850000000000000E-1,3.267288693197481E19
3.649999999999999E2,3.600000000000000E2,7.850000000000000E-1,3.675561768435284E19
3.649999999999999E2,3.649999999999999E2,7.850000000000000E-1,3.966618220171439E19
3.649999999999999E2,3.699999999999999E2,7.850000000000000E-1,4.478818363292876E19
3.649999999999999E2,3.749999999999999E2,7.850000000000000E-1,5.125773787107836E19
3.649999999999999E2,3.799999999999999E2,7.850000000000000E-1,6.142176543356537E19
3.649999999999999E2,3.850000000000000E2,7.850000000000000E-1,6.999598361243297E19
3.649999999999999E2,3.900000000000000E2,7.850000000000000E-1,8.972529269692280E19
3.649999999999999E2,3.950000000000000E2,7.850000000000000E-1,1.093769549892587E20
3.649999999999999E2,4.000000000000000E2,7.850000000000000E-1,1.503293991717663E20
3.649999999999999E2,4.050000000000000E2,7.850000000000000E-1,2.223608621871897E20
3.649999999999999E2,4.100000000000000E2,7.850000000000000E-1,3.620388314073633E20
3.649999999999999E2,4.150000000000000E2,7.850000000000000E-1,6.652095836671420E20
3.649999999999999E2,4.199999999999999E2,7.850000000000000E-1,1.471374577622855E21
3.649999999999999E2,4.249999999999999E2,7.850000000000000E-1,2.902641307185903E21
3.649999999999999E2,4.299999999999999E2,7.850000000000000E-1,1.757623903286272E21
3.649999999999999E2,4.349999999999999E2,7.850000000000000E-1,2.532957364697789E20
3.649999999999999E2,4.399999999999999E2,7.850000000000000E-1,1.836242189510448E19
3.649999999999999E2,4.450000000000000E2,7.850000000000000E-1,4.309348380998051E17
3.649999999999999E2,4.500000000000000E2,7.850000000000000E-1,1.084484016494043E18
3.649999999999999E2,4.550000000000000E2,7.850000000000000E-1,2.920600128021274E20
3.649999999999999E2,4.600000000000000E2,7.850000000000000E-1,6.236828914307267E19
3.649999999999999E2,4.650000000000000E2,7.850000000000000E-1,6.212584099872002E18
3.649999999999999E2,4.700000000000000E2,7.850000000000000E-1,1.747757538123993E18
3.649999999999999E2,4.749999999999999E2,7.850000000000000E-1,9.919726022097700E17
3.649999999999999E2,4.800000000000000E2,7.850000000000000E-1,8.774579482522901E17
3.649999999999999E2,4.849999999999999E2,7.850000000000000E-1,9.545356279539733E17
3.649999999999999E2,4.900000000000000E2,7.850000000000000E-1,1.082295608292400E18
3.649999999999999E2,4.949999999999999E2,7.850000000000000E-1,1.281336834187470E18
3.649999999999999E2,5.000000000000000E2,7.850000000000000E-1,1.459968035864669E18
3.699999999999999E2,0.000000000000000E0,7.850000000000000E-1,1.074742300925060E19
3.699999999999999E2,4.999999999999999E0,7.850000000000000E-1,1.043373479579719E19
3.699999999999999E2,9.999999999999998E0,7.850000000000000E-1,1.014755457049946E19
3.699999999999999E2,1.500000000000000E1,7.850000000000000E-1,1.020878538639116E19
3.699999999999999E2,2.000000000000000E1,7.850000000000000E-1,1.011472809719229E19
3.699999999999999E2,2.500000000000000E1,7.850000000000000E-1,1.016380589157537E19
3.699999999999999E2,3.000000000000000E1,7.850000000000000E-1,1.002897544247734E19
3.699999999999999E2,3.500000000000000E1,7.850000000000000E-1,1.000703151738710E19
3.699999999999999E2,3.999999999999999E1,7.850000000000000E-1,1.015505211387299E19
3.699999999999999E2,4.500000000000000E1,7.850000000000000E-1,1.027313253361761E19
3.699999999999999E2,5.000000000000000E1,7.850000000000000E-1,1.030085876474715E19
3.699999999999999E2,5.499999999999999E1,7.850000000000000E-1,1.051191883649122E19
3.699999999999999E2,6.000000000000000E1,7.850000000000000E-1,1.044308453738206E19
3.699999999999999E2,6.499999999999999E1,7.850000000000000E-1,1.035593235335684E19
3.699999999999999E2,7.000000000000000E1,7.850000000000000E-1,1.008732817664634E19
3.699999999999999E2,7.500000000000000E1,7.850000000000000E-1,1.047359923693187E19
3.699999999999999E2,7.999999999999999E1,7.850000000000000E-1,1.089206901332653E19
3.699999999999999E2,8.500000000000000E1,7.850000000000000E-1,1.038139891941727E19
3.699999999999999E2,9.000000000000000E1,7.850000000000000E-1,1.058349337089177E19
3.699999999999999E2,9.499999999999999E1,7.850000000000000E-1,1.057402347924850E19
3.699999999999999E2,1.000000000000000E2,7.850000000000000E-1,1.062084908071234E19
3.699999999999999E2,1.050000000000000E2,7.850000000000000E-1,1.077062306227907E19
3.699999999999999E2,1.100000000000000E2,7.850000000000000E-1,1.088329990503098E19
3.699999999999999E2,1.150000000000000E2,7.850000000000000E-1,1.080795883911566E19
3.699999999999999E2,1.200000000000000E2,7.850000000000000E-1,1.104644442207067E19
3.699999999999999E2,1.250000000000000E2,7.850000000000000E-1,1.106502431610587E19
3.699999999999999E2,1.300000000000000E2,7.850000000000000E-1,1.108331289870845E19
3.699999999999999E2,1.350000000000000E2,7.850000000000000E-1,1.139228349893216E19
