% Model,attempt10-785nm_step1.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 11 2025, 14:58"
% Table,E^4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
2.000000000000000E2,2.599999999999999E2,7.850000000000000E-1,4.492718584603911E17
2.000000000000000E2,2.650000000000000E2,7.850000000000000E-1,4.405632036034712E17
2.000000000000000E2,2.700000000000000E2,7.850000000000000E-1,4.348822849297293E17
2.000000000000000E2,2.750000000000000E2,7.850000000000000E-1,4.535982553474217E17
2.000000000000000E2,2.800000000000000E2,7.850000000000000E-1,4.409200583484271E17
2.000000000000000E2,2.850000000000000E2,7.850000000000000E-1,4.402447521547882E17
2.000000000000000E2,2.900000000000000E2,7.850000000000000E-1,4.490038538514359E17
2.000000000000000E2,2.950000000000000E2,7.850000000000000E-1,4.339005522769681E17
2.000000000000000E2,3.000000000000000E2,7.850000000000000E-1,4.444516306697653E17
2.000000000000000E2,3.050000000000000E2,7.850000000000000E-1,4.378595597693298E17
2.000000000000000E2,3.099999999999999E2,7.850000000000000E-1,4.347944554003868E17
2.000000000000000E2,3.149999999999999E2,7.850000000000000E-1,4.431490749247352E17
2.000000000000000E2,3.199999999999999E2,7.850000000000000E-1,4.471651979065029E17
2.000000000000000E2,3.250000000000000E2,7.850000000000000E-1,4.329859552355469E17
2.000000000000000E2,3.300000000000000E2,7.850000000000000E-1,4.352697042383109E17
2.000000000000000E2,3.350000000000000E2,7.850000000000000E-1,4.521378677231757E17
2.000000000000000E2,3.400000000000000E2,7.850000000000000E-1,4.412082384407736E17
2.000000000000000E2,3.450000000000000E2,7.850000000000000E-1,4.374350874994381E17
2.000000000000000E2,3.500000000000000E2,7.850000000000000E-1,4.402577023855062E17
2.000000000000000E2,3.550000000000000E2,7.850000000000000E-1,4.206168142437674E17
2.000000000000000E2,3.600000000000000E2,7.850000000000000E-1,4.260731349046881E17
2.000000000000000E2,3.649999999999999E2,7.850000000000000E-1,4.367223516104246E17
2.000000000000000E2,3.699999999999999E2,7.850000000000000E-1,4.325167063474334E17
2.000000000000000E2,3.749999999999999E2,7.850000000000000E-1,4.092799778768643E17
2.000000000000000E2,3.799999999999999E2,7.850000000000000E-1,4.180907371921763E17
2.000000000000000E2,3.850000000000000E2,7.850000000000000E-1,4.158457770193740E17
2.000000000000000E2,3.900000000000000E2,7.850000000000000E-1,4.224947373241459E17
2.000000000000000E2,3.950000000000000E2,7.850000000000000E-1,4.091889605361677E17
2.000000000000000E2,4.000000000000000E2,7.850000000000000E-1,4.129512458510400E17
2.000000000000000E2,4.050000000000000E2,7.850000000000000E-1,4.161417544217436E17
2.000000000000000E2,4.100000000000000E2,7.850000000000000E-1,4.068489297556041E17
2.000000000000000E2,4.150000000000000E2,7.850000000000000E-1,4.042093359658882E17
2.000000000000000E2,4.199999999999999E2,7.850000000000000E-1,4.086664578191226E17
2.000000000000000E2,4.249999999999999E2,7.850000000000000E-1,4.026298364497069E17
2.000000000000000E2,4.299999999999999E2,7.850000000000000E-1,4.054611945814222E17
2.000000000000000E2,4.349999999999999E2,7.850000000000000E-1,3.960282656509272E17
2.000000000000000E2,4.399999999999999E2,7.850000000000000E-1,4.036465332960572E17
2.000000000000000E2,4.450000000000000E2,7.850000000000000E-1,4.118080735292365E17
2.000000000000000E2,4.500000000000000E2,7.850000000000000E-1,4.017000246235086E17
2.000000000000000E2,4.550000000000000E2,7.850000000000000E-1,4.070393122922990E17
2.000000000000000E2,4.600000000000000E2,7.850000000000000E-1,3.936899356419836E17
2.000000000000000E2,4.650000000000000E2,7.850000000000000E-1,4.032390894742465E17
2.000000000000000E2,4.700000000000000E2,7.850000000000000E-1,3.995704942491971E17
2.000000000000000E2,4.749999999999999E2,7.850000000000000E-1,3.893775942784773E17
2.000000000000000E2,4.800000000000000E2,7.850000000000000E-1,3.885460663721392E17
2.000000000000000E2,4.849999999999999E2,7.850000000000000E-1,3.950130665850175E17
2.000000000000000E2,4.900000000000000E2,7.850000000000000E-1,4.074706170034184E17
2.000000000000000E2,4.949999999999999E2,7.850000000000000E-1,3.951199269732858E17
2.000000000000000E2,5.000000000000000E2,7.850000000000000E-1,4.013900262548678E17
2.050000000000000E2,0.000000000000000E0,7.850000000000000E-1,5.685197918647253E17
2.050000000000000E2,4.999999999999999E0,7.850000000000000E-1,4.490283180481470E17
2.050000000000000E2,9.999999999999998E0,7.850000000000000E-1,4.251530682269429E17
2.050000000000000E2,1.500000000000000E1,7.850000000000000E-1,4.246939118485165E17
