D\L (nm),200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0,245.0,250.0,255.0,260.0,265.0,270.0,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0
0.0,155.97058522632818,163.4240825765861,169.9268353725849,180.58916740432,189.13623799493953,200.36566538185122,209.96168244112783,214.89205355547418,214.7692591202248,235.76381879776625,245.63698847139426,258.79358845916227,271.9029066693208,302.59434483052127,321.25457658771717,346.54856872718665,357.3183640750402,382.00399331229727,393.0252048811157,427.6184474338537,451.36481698371045,468.22838165673244,505.93477100113125,526.2727378736136,561.8921364857409,597.2860751067817,626.3968349419971,625.0782955633158,670.0993139122585,707.3409433140413,733.2283653268195,807.3317075638806,844.8390504546544,901.7942331351943,948.3727875154747,999.3129505785809,1051.850826491506,1109.7757308547493,1156.5540818223383,1213.4970442247436,1274.284360090287,1358.6138067917027,1419.9642826382606,1871.5691891768563,1531.5839590227097,1690.7893029885738,1667.972611082042,1717.1534703801199,1905.2166785491293,1991.4607297147577,2045.4618000527319
5.0,115.74148779132112,123.00232784099737,131.6593169529139,136.9778801655043,147.55591759954746,157.3658469689366,167.0288177868358,173.87316187944484,185.57664610908893,201.5990973419007,219.3537315926243,224.5022597440867,235.89116847414456,250.15432655843654,269.8393099660918,286.64104937259356,302.6430084616425,314.9572308043494,343.58601085028494,365.8391635677338,398.3840180605256,414.11521831008207,430.8148800577197,460.398236061358,496.6239107807397,521.0976666541181,566.1709415685842,600.7808430160479,632.6400477346701,671.4847576151078,702.5761395123867,764.9524896669986,825.8720458733449,847.8570959790588,896.3042331523595,954.4165524522853,997.8307832674302,1065.8858996395559,1125.2797059118932,1186.4492186706764,1237.948588188921,1291.0285533396636,1382.9687972904721,1417.6527883860003,1513.8956834201724,1599.3556997228566,1680.126088343327,1688.69501555208,1791.4353898057027,1825.569758747037,1851.8335199813043
10.0,105.21069470276095,111.10832158798668,117.97722597284879,129.97463591560916,134.49394583135475,144.65946625426406,154.41812410234877,164.44030202863658,172.7399359473682,183.90483149262286,202.79363391635135,206.22055940297622,220.04587928777116,236.85226274724968,250.89485289525936,266.6717184574536,279.79328132381596,305.73397012738116,321.0740669752602,343.0381447887764,368.4304716103312,393.6675036541395,407.9310092272106,448.0690909850424,469.91242199357595,494.0991351892349,537.9054699232923,553.7219954777759,599.8149074850674,643.6439505895092,663.9481039226902,715.8120101413002,771.0479827750728,802.8294669688328,848.9309977284308,913.717927724434,967.231897186322,1029.1343579727663,1064.1384473220285,1114.8580643617327,1221.8576380487975,1226.7258692508128,1322.2423432896126,1349.2812085034745,1437.3636188459245,1504.8430873485777,1580.20646015642,1609.3568378170694,1707.1083763936492,1725.9903121418674,1755.7992113822056
15.0,100.25083680731368,106.00073166542911,115.26542756915522,119.46826793940853,129.57289994693332,136.86801869190242,145.61457935764315,154.65252016959653,162.45487018295003,175.95780778466977,191.8186620587957,201.53814801591696,210.49536173030086,224.95775804390104,241.11180623798424,259.6243246103851,269.5927137171068,290.31218458290203,307.9703259437096,326.937004681065,356.8121413014722,373.71482098702177,399.38990293038404,422.3933847957336,464.28724962623863,483.1170100534549,526.4561329375567,544.5268081247095,576.873193492073,614.196421207454,656.5183268928868,691.6754817408168,738.8787518628117,788.215733074782,832.014326174938,869.506053851683,928.1030871887054,966.2163918826543,1025.7548479603863,1106.4852201017786,1180.3455283187805,1179.5681522020423,1294.6270885352667,1325.9693628252228,1438.3637775385157,1412.9140710547013,1519.925328301325,1589.5531814225371,1641.0609335449624,1644.2726875366711,1708.8978199744922
20.0,93.91300584205287,101.53328001433546,108.224126935185,115.06231293837399,123.99983119337517,132.60119942000932,139.48477571491676,147.21375343176697,157.6384935840003,168.18232466751545,181.73628659285242,193.50035420786682,205.5097657177956,213.59935417697264,233.69986984027355,246.97693492314863,260.86569395494064,279.1036631321407,296.97367109193567,317.08849921945404,348.6388719259667,365.8359367063502,386.03936785582925,415.4520392287686,434.85490857066515,473.7740438072986,509.17138593757244,528.1765546417212,559.8135410937589,600.7474806242722,633.0867591252758,670.935620842388,717.8587431031185,750.3947552728604,803.3470216802275,854.0581578006262,902.6384645901664,932.233644114876,994.9614584860503,1040.662036399462,1158.0826768646657,1165.038261116476,1226.3044005945535,1287.962789265753,1339.0164585604389,1365.983583376113,1475.727181094578,1503.9907686908691,1565.897626252473,1626.4847173908604,1673.7400579277605
25.0,91.55780640636816,97.29511426924802,105.71056733852913,111.12877664121088,117.59866274059544,125.5407482877193,136.494777113742,145.05996947670798,154.56093343746846,166.97050451440555,174.06024143399796,187.453597357251,199.40367779717855,215.8509318324183,228.0785559517864,241.60398150498648,250.78190465522576,277.32648291428535,289.76331196038353,315.899250037093,342.64376322417877,353.5883949438662,375.7541648594634,403.496275220969,426.46944788730644,460.24139996516084,482.28760110159953,507.10565221114166,563.0091814734677,583.8774059516849,613.1175965380287,671.6329778233803,691.0234804138763,745.8352351238185,786.9377158681503,821.9208021552878,868.2557235577281,944.1677050890198,985.516145891174,1038.5874851344847,1100.9650108264866,1141.0651972159856,1210.6392436486608,1234.6160480660537,1318.0953032056925,1350.4590808464425,1406.7270028899463,1434.22390947712,1501.5198797908681,1549.0952494731002,1608.0702268399154
30.0,88.54614704008065,94.42557814593071,101.39130097074684,107.03164763753033,117.24895451612915,122.44732425331573,134.19079493163144,138.9625013273769,149.54854490609262,161.3515862961849,179.61924121521085,180.6822100832257,196.93927557391717,208.52301562951598,222.86941148785826,234.40184653732922,251.48715915229297,270.90883701752256,279.29177217954236,308.6428394260421,332.0355931599281,344.49996168081924,370.75103804436947,390.86117527821693,418.4406597823524,449.56726659440295,487.79280973828236,508.49077753888724,532.6567805741336,567.0024294976507,599.1857717582767,645.8315053874444,683.3435760801866,715.1118208566581,757.2072692644654,806.7112457023505,848.5514038532409,912.6935990658402,954.6973431926964,1009.5573743434335,1087.7927492207614,1107.1410866522572,1166.6607438122674,1226.7995353001465,1280.2590680918725,1307.6406649072208,1424.8370370316054,1407.6495978142893,1464.8515202996057,1500.0558247632173,1514.2829517114092
35.0,83.79220334193803,90.5124848822232,98.32008472065385,105.94131917783582,113.21398220332125,118.7069397202452,125.97450252001256,134.74878740999216,144.55543634961816,154.5896475580679,171.63372067399334,177.72239567351403,187.87209024963514,203.63336366386923,215.55714993277726,232.65928040993018,250.77866712081294,260.67836864919127,286.7248864559224,295.54521676926396,325.43857834062305,335.00092918000416,360.7797702702792,386.36307847302663,412.85711813945,445.98608658171963,466.30877806248833,480.37756116504465,529.8405943540196,549.5731565207005,593.5367447696593,636.2817179981504,662.6473455716392,687.4042034678355,737.010050890501,792.0987272714086,825.6083679238511,885.678923381655,935.0073032158201,973.1752688496008,1069.711055954244,1100.808415467886,1188.6710172489034,1192.4363764384163,1281.849124101255,1282.762294526877,1345.3490062267817,1407.2182516372898,1458.8798229361935,1480.9726985586722,1508.7455521595275
40.0,81.4354351400041,88.5143015532146,96.22564293484515,101.32063170348387,110.03363239671584,116.04036022089338,124.2144804262289,132.50533997342922,142.95377387828884,150.4894821744241,165.36213343720073,171.19677076767607,184.36793999489657,198.9113393476649,215.215380001683,223.6863371139798,236.9093456184829,257.34783539855425,273.9223220208364,291.7084076975847,316.09398793166326,332.8550514169177,352.5790674614586,380.32393259189405,399.679065109973,428.183149990109,461.1307590594758,485.4477979982654,516.0076330477102,545.518678278278,575.1934527118312,609.7733494307973,667.0612129551199,704.5282498378144,729.7811347005833,784.984958097677,802.6418473325407,872.221095447639,915.9467476214667,976.0739427560037,1001.5050874768264,1089.023364740363,1128.5249224200154,1185.8593919412856,1227.011274447717,1286.053006402036,1278.2742269465014,1369.4822052174725,1429.674318340625,1475.0010060991694,1535.248687425558
