% Model,attempt7 - 45deg ate 300 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:40"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
7.500000000000000E1,3.749999999999999E2,6.330000000000000E-1,6.572926035722502E16
7.500000000000000E1,4.000000000000000E2,6.330000000000000E-1,6.096662112535872E16
7.500000000000000E1,4.249999999999999E2,6.330000000000000E-1,6.222063246929891E16
7.500000000000000E1,4.500000000000000E2,6.330000000000000E-1,6.091024664321651E16
7.500000000000000E1,4.749999999999999E2,6.330000000000000E-1,6.141081221472726E16
7.500000000000000E1,5.000000000000000E2,6.330000000000000E-1,6.165294772448935E16
7.500000000000000E1,5.250000000000000E2,6.330000000000000E-1,5.451108935512979E16
7.500000000000000E1,5.500000000000000E2,6.330000000000000E-1,5.948837492614253E16
7.500000000000000E1,5.749999999999999E2,6.330000000000000E-1,6.129846903927525E16
7.500000000000000E1,6.000000000000000E2,6.330000000000000E-1,5.858962342064604E16
7.500000000000000E1,6.250000000000000E2,6.330000000000000E-1,6.061845585056289E16
7.500000000000000E1,6.500000000000000E2,6.330000000000000E-1,5.822550764144908E16
7.500000000000000E1,6.749999999999999E2,6.330000000000000E-1,5.969784844928718E16
7.500000000000000E1,7.000000000000000E2,6.330000000000000E-1,5.568449076771456E16
1.000000000000000E2,0.000000000000000E0,6.330000000000000E-1,5.890350744777110E17
1.000000000000000E2,2.500000000000000E1,6.330000000000000E-1,1.945542735519295E17
1.000000000000000E2,5.000000000000000E1,6.330000000000000E-1,1.836964081957069E17
1.000000000000000E2,7.500000000000000E1,6.330000000000000E-1,1.890522978599635E17
1.000000000000000E2,1.000000000000000E2,6.330000000000000E-1,1.824557934193617E17
1.000000000000000E2,1.250000000000000E2,6.330000000000000E-1,2.006939039333458E17
1.000000000000000E2,1.500000000000000E2,6.330000000000000E-1,1.866550956149092E17
1.000000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.966440964819884E17
1.000000000000000E2,2.000000000000000E2,6.330000000000000E-1,1.953440964892616E17
1.000000000000000E2,2.250000000000000E2,6.330000000000000E-1,1.872663300561390E17
1.000000000000000E2,2.500000000000000E2,6.330000000000000E-1,1.826962537346980E17
1.000000000000000E2,2.750000000000000E2,6.330000000000000E-1,1.790988957958727E17
1.000000000000000E2,3.000000000000000E2,6.330000000000000E-1,1.782074216998195E17
1.000000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.771909098122901E17
1.000000000000000E2,3.500000000000000E2,6.330000000000000E-1,1.776971954652038E17
1.000000000000000E2,3.749999999999999E2,6.330000000000000E-1,1.736698438639087E17
1.000000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.795706889136703E17
1.000000000000000E2,4.249999999999999E2,6.330000000000000E-1,1.756912019454736E17
1.000000000000000E2,4.500000000000000E2,6.330000000000000E-1,1.667752609407352E17
1.000000000000000E2,4.749999999999999E2,6.330000000000000E-1,1.615616574819905E17
1.000000000000000E2,5.000000000000000E2,6.330000000000000E-1,1.630351927312912E17
1.000000000000000E2,5.250000000000000E2,6.330000000000000E-1,1.554443300592525E17
1.000000000000000E2,5.500000000000000E2,6.330000000000000E-1,1.476062077020169E17
1.000000000000000E2,5.749999999999999E2,6.330000000000000E-1,1.452493894308510E17
1.000000000000000E2,6.000000000000000E2,6.330000000000000E-1,1.192687950600290E17
1.000000000000000E2,6.250000000000000E2,6.330000000000000E-1,1.083058286339025E17
1.000000000000000E2,6.500000000000000E2,6.330000000000000E-1,1.927241136319912E17
1.000000000000000E2,6.749999999999999E2,6.330000000000000E-1,1.688927347925649E17
1.000000000000000E2,7.000000000000000E2,6.330000000000000E-1,1.548372065859560E17
1.250000000000000E2,0.000000000000000E0,6.330000000000000E-1,1.107702320712949E18
1.250000000000000E2,2.500000000000000E1,6.330000000000000E-1,4.671908679717723E17
1.250000000000000E2,5.000000000000000E1,6.330000000000000E-1,4.563647780137335E17
1.250000000000000E2,7.500000000000000E1,6.330000000000000E-1,4.484943402994870E17
1.250000000000000E2,1.000000000000000E2,6.330000000000000E-1,4.470713416470111E17
1.250000000000000E2,1.250000000000000E2,6.330000000000000E-1,4.658239565283237E17
1.250000000000000E2,1.500000000000000E2,6.330000000000000E-1,4.726791911176698E17
1.250000000000000E2,1.750000000000000E2,6.330000000000000E-1,5.006350724430214E17
1.250000000000000E2,2.000000000000000E2,6.330000000000000E-1,4.410513594951019E17
1.250000000000000E2,2.250000000000000E2,6.330000000000000E-1,4.662600842798135E17
1.250000000000000E2,2.500000000000000E2,6.330000000000000E-1,4.450788540904063E17
1.250000000000000E2,2.750000000000000E2,6.330000000000000E-1,4.388084068548502E17
